Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
10/11/2020,8:00 AM,Chhattisgarh,111654,1235,140258
10/11/2020,8:00 AM,Manipur,10396,88,13092
10/11/2020,8:00 AM,Ladakh,3973,64,5059
10/11/2020,8:00 AM,Arunachal Pradesh,9035,23,11998
10/11/2020,8:00 AM,Meghalaya,5045,62,7544
10/11/2020,8:00 AM,Kerala,182874,978,279855
10/12/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3059,2,3163
10/12/2020,8:00 AM,Andaman and Nicobar Islands,3764,55,4005
10/12/2020,8:00 AM,Bihar,184541,946,196531
10/12/2020,8:00 AM,Andhra Pradesh,703208,6224,755727
10/12/2020,8:00 AM,Mizoram,2010,0,2184
10/12/2020,8:00 AM,Tamil Nadu,602038,10252,656385
10/12/2020,8:00 AM,Haryana,130003,1579,142155
10/12/2020,8:00 AM,Delhi,281869,5769,309339
10/12/2020,8:00 AM,Jharkhand,83571,787,92525
10/12/2020,8:00 AM,Odisha,227615,1022,252239
10/12/2020,8:00 AM,Chandigarh,11787,191,13162
10/12/2020,8:00 AM,Punjab,110865,3833,123973
10/12/2020,8:00 AM,Uttar Pradesh,390566,6394,436979
10/12/2020,8:00 AM,Telengana,187342,1228,213084
10/12/2020,8:00 AM,Madhya Pradesh,129019,2624,146820
10/12/2020,8:00 AM,West Bengal,258948,5622,294806
10/12/2020,8:00 AM,Gujarat,132173,3566,151434
10/12/2020,8:00 AM,Sikkim,2920,55,3359
10/12/2020,8:00 AM,Goa,33203,507,38366
10/12/2020,8:00 AM,Jammu and Kashmir,71845,1322,83633
10/12/2020,8:00 AM,Tripura,24403,316,28461
10/12/2020,8:00 AM,Rajasthan,135990,1650,159052
10/12/2020,8:00 AM,Uttarakhand,46931,747,55051
10/12/2020,8:00 AM,Assam,164582,816,193783
10/12/2020,8:00 AM,Puducherry,26291,563,31549
10/12/2020,8:00 AM,Himachal Pradesh,14471,250,17408
10/12/2020,8:00 AM,Maharashtra,1266240,40349,1528226
10/12/2020,8:00 AM,Nagaland,5743,17,7019
10/12/2020,8:00 AM,Karnataka,580054,9966,710309
10/12/2020,8:00 AM,Chhattisgarh,113771,1253,142372
10/12/2020,8:00 AM,Ladakh,4037,64,5081
10/12/2020,8:00 AM,Manipur,10504,91,13326
10/12/2020,8:00 AM,Arunachal Pradesh,9232,24,12147
10/12/2020,8:00 AM,Meghalaya,5142,63,7683
10/12/2020,8:00 AM,Kerala,191798,1003,289202
